číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/turistika,turistika,Turistika,Hiking
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/veslování,veslování,Veslování,Rowing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/vodní-pólo,vodní-pólo,Vodní pólo,Water polo
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/volejbal,volejbal,Volejbal,Voleyball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/vzpírání,vzpírání,Vzpírání,Weightlifting
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/workout,workout,Workout,Workout
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/zápas,zápas,Zápas,Wrestling
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/zumba,zumba,Zumba,Zumba
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/streetball,streetball,Streetball,Streetball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/bruslení,bruslení,Bruslení,Skating
